InventoryId,Sum of BeginOnHand,Sum of EndOnHand,LowInvFlag,Sum of Purch_Agg.TotalPurchase$,Sum of Purch_Agg.TotalPurchaseQty,Sum of Sales_Agg.TotalSales$,Sum of Sales_Agg.TotalSalesQty,Purch_Agg.AvgPurchasePrice,Inventory Variance
14_BROMWICH_6530,6,12,0,319.8,60,47.94,6,5.33,6
14_BROMWICH_6535,3,11,0,171.36,24,23.98,2,7.14,8
14_BROMWICH_6542,56,10,1,222.6,60,199.7,30,3.71,-46
14_BROMWICH_6552,4,7,1,1091.22,78,137.94,6,13.99,3
14_BROMWICH_6553,15,6,1,356.04,46,123.91,9,7.74,-9
14_BROMWICH_6560,0,15,0,1486.08,108,0,0,13.76,15
14_BROMWICH_6563,14,11,0,163.44,36,29.97,3,4.54,-3
14_BROMWICH_6565,3,27,0,1779.03,297,168.83,17,5.99,24
14_BROMWICH_6566,10,5,1,70.08,12,39.96,4,5.84,-5
14_BROMWICH_6567,14,6,1,587.52,96,64.95,5,6.12,-8
14_BROMWICH_6569,13,9,1,467.28,36,0,0,12.98,-4
14_BROMWICH_6570,96,83,0,12991.63,1919,2188.72,168,6.77,-13
14_BROMWICH_6572,3,14,0,282.24,24,0,0,11.76,11
14_BROMWICH_6574,18,11,0,1758.24,176,814.51,49,9.99,-7
14_BROMWICH_6575,18,22,0,1197.2,205,11.99,1,5.84,4
14_BROMWICH_6579,73,24,0,1548.6,267,417.63,37,5.8,-49
14_BROMWICH_6581,5,9,1,463.74,59,58.96,4,7.86,4
14_BROMWICH_6584,13,12,0,299.7,37,131.9,10,8.1,-1
14_BROMWICH_6585,8,9,1,123.6,24,7.99,1,5.15,1
14_BROMWICH_6586,11,8,1,160.8,24,65.94,6,6.7,-3
14_BROMWICH_659,11,2,1,,,33.99,1,,-9
14_BROMWICH_6590,5,14,0,872.2,89,138.91,9,9.8,9
14_BROMWICH_6595,41,18,0,1505.28,336,57.93,7,4.48,-23
14_BROMWICH_6596,8,6,1,137.31,23,25.98,2,5.97,-2
14_BROMWICH_6599,12,6,1,416.16,72,51.96,4,5.78,-6
14_BROMWICH_6600,0,8,1,695.52,12,0,0,57.96,8
14_BROMWICH_661,8,8,1,1318.68,132,376.74,26,9.99,0
14_BROMWICH_6638,6,11,0,470.67,29,0,0,16.23,5
14_BROMWICH_6646,0,0,1,406.8,30,0,0,13.56,0
14_BROMWICH_6647,30,20,0,533.93,107,59.94,6,4.99,-10
14_BROMWICH_6648,8,8,1,185.4,36,92.89,11,5.15,0
14_BROMWICH_6649,12,9,1,188.88,24,87.93,7,7.87,-3
14_BROMWICH_6650,13,34,0,708.48,96,351.68,32,7.38,21
14_BROMWICH_6651,2,11,0,654.36,84,194.85,15,7.79,9
14_BROMWICH_6654,33,14,0,1305.6,48,41.99,1,27.2,-19
14_BROMWICH_6658,0,0,1,529.44,48,0,0,11.03,0
14_BROMWICH_6659,13,8,1,71.4,12,19.98,2,5.95,-5
14_BROMWICH_6660,10,7,1,739.44,72,224.85,15,10.27,-3
14_BROMWICH_6670,17,6,1,1448,200,155.88,12,7.24,-11
14_BROMWICH_6681,0,3,1,190.68,12,0,0,15.89,3
14_BROMWICH_6682,133,69,0,7585.74,1258,1613.69,131,6.03,-64
14_BROMWICH_6687,8,2,1,,,45.97,3,,-6
14_BROMWICH_6688,40,23,0,1045.8,180,435.68,48,5.81,-17
14_BROMWICH_6692,7,26,0,320.64,48,204.04,20,6.68,19
14_BROMWICH_6694,9,15,0,249.12,48,63.92,8,5.19,6
14_BROMWICH_6721,5,7,1,65.7,6,0,0,10.95,2
14_BROMWICH_6724,3,6,1,111.12,24,9.99,1,4.63,3
14_BROMWICH_6725,21,13,0,3873.96,459,989.28,72,8.44,-8
14_BROMWICH_6727,32,14,0,,,119.94,6,,-18
14_BROMWICH_6734,11,12,0,71.39,11,39.96,4,6.49,1
14_BROMWICH_6735,12,8,1,195.9,30,79.92,8,6.53,-4
14_BROMWICH_6738,0,0,1,34.32,44,0,0,0.78,0
14_BROMWICH_6742,10,12,0,299.76,24,19.99,1,12.49,2
14_BROMWICH_6748,42,16,0,1061.97,273,347.42,58,3.89,-26
14_BROMWICH_676,0,8,1,3252.4,376,513.56,44,8.65,8
14_BROMWICH_6782,11,10,1,337.75,35,44.97,3,9.65,-1
14_BROMWICH_680,14,10,1,498.96,36,119.94,6,13.86,-4
14_BROMWICH_6814,0,5,1,188.88,12,0,0,15.74,5
14_BROMWICH_6824,42,20,0,369.72,36,16.99,1,10.27,-22
14_BROMWICH_6828,13,8,1,79.44,12,30.97,3,6.62,-5
14_BROMWICH_6846,0,12,0,163.92,12,0,0,13.66,12
14_BROMWICH_6854,6,9,1,966.28,98,284.81,19,9.86,3
14_BROMWICH_6855,32,9,1,2354.45,155,719.64,36,15.19,-23
14_BROMWICH_6857,54,18,0,1031.04,192,593.43,69,5.37,-36
14_BROMWICH_6859,12,15,0,84.42,18,8.99,1,4.69,3
14_BROMWICH_686,9,11,0,448.5,30,39.98,2,14.95,2
14_BROMWICH_6861,15,6,1,549.29,133,29.95,5,4.13,-9
14_BROMWICH_6864,8,15,0,264.48,48,104.91,9,5.51,7
14_BROMWICH_6867,6,13,0,305.76,24,37.98,2,12.74,7
14_BROMWICH_6873,3,7,1,331.2,36,44.97,3,9.2,4
14_BROMWICH_6876,13,10,1,829.73,209,155.74,26,3.97,-3
14_BROMWICH_6879,232,246,0,178.34,241,55.44,56,0.74,14
14_BROMWICH_6896,10,9,1,131.3,13,38.98,2,10.1,-1
14_BROMWICH_6918,20,16,0,2584.2,236,739.56,44,10.95,-4
14_BROMWICH_6932,16,8,1,135.66,34,47.92,8,3.99,-8
14_BROMWICH_6933,13,13,0,373.46,71,35.96,4,5.26,0
14_BROMWICH_6937,103,61,0,8201.25,1215,1209.03,97,6.75,-42
14_BROMWICH_6938,19,22,0,1252.23,267,415.48,52,4.69,3
14_BROMWICH_694,3,4,1,74.76,12,16.58,2,6.23,1
14_BROMWICH_6946,12,7,1,57.48,12,39.96,4,4.79,-5
14_BROMWICH_6950,11,8,1,141.12,6,34.99,1,23.52,-3
14_BROMWICH_6958,13,10,1,127.92,24,17.98,2,5.33,-3
14_BROMWICH_6960,46,41,0,763.6,166,95.87,13,4.6,-5
14_BROMWICH_6967,44,14,0,1426.8,120,242.88,12,11.89,-30
14_BROMWICH_6975,9,9,1,229.92,48,7.99,1,4.79,0
14_BROMWICH_6976,9,2,1,458.64,36,22.99,1,12.74,-7
14_BROMWICH_6980,12,8,1,502.56,36,79.96,4,13.96,-4
14_BROMWICH_6983,48,15,0,396.96,48,331.8,20,8.27,-33
14_BROMWICH_6984,16,10,1,657.6,60,76.96,4,10.96,-6
14_BROMWICH_6987,3,4,1,80.4,12,19.98,2,6.7,1
14_BROMWICH_6995,7,8,1,886.15,185,265.62,38,4.79,1
14_BROMWICH_7017,0,2,1,307.08,12,0,0,25.59,2
14_BROMWICH_7070,0,7,1,336.6,36,0,0,9.35,7
14_BROMWICH_7077,0,107,0,865.06,1169,0,0,0.74,107
14_BROMWICH_7111,0,3,1,439.74,9,0,0,48.86,3
14_BROMWICH_714,0,11,0,51.72,12,0,0,4.31,11
14_BROMWICH_7143,0,10,1,1770.25,97,0,0,18.25,10
14_BROMWICH_7159,9,7,1,254.88,54,53.94,6,4.72,-2
14_BROMWICH_7198,10,13,0,621.6,84,93.91,9,7.4,3
14_BROMWICH_7221,12,12,0,795.76,116,251.76,24,6.86,0
14_BROMWICH_7254,11,8,1,578.88,108,223.72,28,5.36,-3
14_BROMWICH_7261,17,11,0,588.43,163,170.19,31,3.61,-6
14_BROMWICH_7262,15,5,1,613.89,171,159.21,29,3.59,-10
14_BROMWICH_7269,22,20,0,163.2,30,7.99,1,5.44,-2
14_BROMWICH_7279,13,11,0,541.71,117,122.85,15,4.63,-2
14_BROMWICH_7293,19,7,1,715.2,120,152.82,18,5.96,-12
14_BROMWICH_7302,35,24,0,288.9,45,47.96,4,6.42,-11
14_BROMWICH_7320,4,9,1,1501.38,114,139.93,7,13.17,5
14_BROMWICH_7340,5,13,0,883.2,60,94.95,5,14.72,8
14_BROMWICH_7341,107,109,0,1318.5,1758,279.18,282,0.75,2
14_BROMWICH_7345,24,11,0,1620,240,252.76,24,6.75,-13
14_BROMWICH_7353,13,14,0,504.84,42,79.96,4,12.02,1
14_BROMWICH_7358,1,5,1,510.12,36,56.97,3,14.17,4
14_BROMWICH_7363,0,1,1,287.6,20,0,0,14.38,1
14_BROMWICH_7374,10,27,0,974.12,142,177.83,17,6.86,17
14_BROMWICH_7393,0,9,1,866.91,71,0,0,12.21,9
14_BROMWICH_7404,114,101,0,277.2,360,40.59,41,0.77,-13
14_BROMWICH_7423,0,10,1,317.26,58,53.94,6,5.47,10
14_BROMWICH_746,0,11,0,55.32,12,0,0,4.61,11
14_BROMWICH_7489,0,121,0,270,360,0,0,0.75,121
14_BROMWICH_7535,15,12,0,1491.84,336,389.35,65,4.44,-3
14_BROMWICH_757,11,12,0,502.2,36,111.94,6,13.95,1
14_BROMWICH_759,2,8,1,222,6,0,0,37,6
14_BROMWICH_764,0,3,1,62.52,6,0,0,10.42,3
14_BROMWICH_77,3,9,1,1797.47,173,378.71,29,10.39,6
14_BROMWICH_7715,25,35,0,1514.03,503,227.61,39,3.01,10
14_BROMWICH_7716,35,49,0,1011.93,267,179.7,30,3.79,14
14_BROMWICH_7718,5,0,1,393.76,107,47.42,8,3.68,-5
14_BROMWICH_7740,46,38,0,1582.6,386,227.62,38,4.1,-8
14_BROMWICH_778,12,5,1,368.28,36,38.97,3,10.23,-7
14_BROMWICH_779,0,11,0,114.6,12,0,0,9.55,11
14_BROMWICH_7818,18,27,0,248.57,67,17.97,3,3.71,9
14_BROMWICH_7838,0,10,1,304.2,36,149.9,10,8.45,10
14_BROMWICH_7849,0,4,1,1622.4,208,0,0,7.8,4
14_BROMWICH_7860,11,14,0,288.97,71,23.96,4,4.07,3
14_BROMWICH_7865,6,1,1,2085.39,87,291.92,8,23.97,-5
14_BROMWICH_7867,0,0,1,1497.6,195,0,0,7.68,0
14_BROMWICH_7872,18,16,0,,,0,0,,-2
14_BROMWICH_7878,121,40,0,29140.83,2917,7944.66,534,9.99,-81
14_BROMWICH_7891,8,8,1,215.76,6,0,0,35.96,0
14_BROMWICH_79,23,12,0,923.52,96,179.88,12,9.62,-11
14_BROMWICH_7909,5,6,1,257.76,6,299.95,5,42.96,1
14_BROMWICH_7917,0,7,1,1439.36,208,0,0,6.92,7
14_BROMWICH_7931,0,7,1,1358.7,210,0,0,6.47,7
14_BROMWICH_7936,0,45,0,97.27,137,0,0,0.71,45
14_BROMWICH_7948,0,72,0,103.66,142,0,0,0.73,72
14_BROMWICH_7951,0,6,1,613.08,12,0,0,51.09,6
14_BROMWICH_7956,0,60,0,223.57,283,0,0,0.79,60
14_BROMWICH_7969,6,6,1,325.08,36,59.96,4,9.03,0
14_BROMWICH_7977,13,16,0,1003.66,134,220.29,21,7.49,3
14_BROMWICH_7978,11,16,0,920.35,233,217.21,29,3.95,5
14_BROMWICH_7982,15,10,1,553,140,164.78,22,3.95,-5
14_BROMWICH_7986,5,7,1,134.28,6,0,0,22.38,2
14_BROMWICH_7991,13,11,0,586.44,81,119.88,12,7.24,-2
14_BROMWICH_7992,0,29,0,432.9,78,34.95,5,5.55,29
14_BROMWICH_7993,12,14,0,522.16,107,90.86,14,4.88,2
14_BROMWICH_7994,12,10,1,634.4,80,19.98,2,7.93,-2
14_BROMWICH_7995,5,41,0,366.3,74,38.94,6,4.95,36
14_BROMWICH_7996,7,15,0,479.36,107,103.84,16,4.48,8
14_BROMWICH_8000,9,9,1,5611.84,104,1359.8,20,53.96,0
14_BROMWICH_8015,0,8,1,355.44,24,0,0,14.81,8
14_BROMWICH_8016,27,20,0,632.28,132,66.91,9,4.79,-7
14_BROMWICH_8018,32,22,0,1035,225,141.8,20,4.6,-10
14_BROMWICH_802,13,8,1,567.29,71,97.92,8,7.99,-5
14_BROMWICH_8021,6,17,0,1511.52,48,138.97,3,31.49,11
14_BROMWICH_8023,47,10,1,2689.6,820,435.07,93,3.28,-37
14_BROMWICH_8027,124,42,0,,,19.9,10,,-82
14_BROMWICH_8032,6,23,0,2219.72,422,359.55,45,5.26,17
14_BROMWICH_8033,171,154,0,1881.4,818,287.04,96,2.3,-17
14_BROMWICH_8036,6,4,1,1546.49,187,323.73,27,8.27,-2
14_BROMWICH_8040,10,13,0,1893.15,315,369.58,42,6.01,3
14_BROMWICH_8048,0,6,1,849.93,41,0,0,20.73,6
14_BROMWICH_8050,18,7,1,612.96,48,197.89,11,12.77,-11
14_BROMWICH_8053,167,70,0,613.5,818,142.56,144,0.75,-97
14_BROMWICH_806,7,9,1,623.4,60,116.91,9,10.39,2
14_BROMWICH_8063,27,0,1,,,23.88,12,,-27
14_BROMWICH_8064,63,164,0,1301.88,1713,209.88,212,0.76,101
14_BROMWICH_8066,27,10,1,4156.79,583,708.26,74,7.13,-17
14_BROMWICH_8068,143,95,0,51673.92,2833,9234.38,362,18.24,-48
14_BROMWICH_807,24,22,0,4008.69,303,747.6,40,13.23,-2
14_BROMWICH_8072,6,2,1,149.94,6,0,0,24.99,-4
14_BROMWICH_8075,10,7,1,243,36,49.95,5,6.75,-3
14_BROMWICH_8078,24,4,1,350.16,24,205.9,10,14.59,-20
14_BROMWICH_8082,90,15,0,13907.2,640,2684.24,76,21.73,-75
14_BROMWICH_8085,10,18,0,2123.97,83,208.94,6,25.59,8
14_BROMWICH_8092,132,84,0,204,120,52.67,23,1.7,-48
14_BROMWICH_8096,93,102,0,192.5,125,19.9,10,1.54,9
14_BROMWICH_8097,11,5,1,566.4,60,95.93,7,9.44,-6
14_BROMWICH_8101,101,88,0,529.2,360,181.09,91,1.47,-13
14_BROMWICH_8102,30,23,0,1100.35,59,255.9,10,18.65,-7
14_BROMWICH_8103,32,123,0,1238.16,1608,323.73,327,0.77,91
14_BROMWICH_8107,3,16,0,4861.22,182,924.75,25,26.71,13
14_BROMWICH_8108,0,5,1,251.88,6,0,0,41.98,5
14_BROMWICH_811,30,39,0,10019.2,505,2495.15,85,19.84,9
14_BROMWICH_8110,15,11,0,426.4,65,89.9,10,6.56,-4
14_BROMWICH_8111,180,208,0,4027.87,5231,522.72,528,0.77,28
14_BROMWICH_8112,33,39,0,9096.32,466,921.65,35,19.52,6
14_BROMWICH_8113,3,5,1,166.5,15,35.98,2,11.1,2
14_BROMWICH_8118,7,10,1,826.28,182,138.8,20,4.54,3
14_BROMWICH_812,43,44,0,5449.6,320,1186.45,55,17.03,1
14_BROMWICH_8120,11,12,0,877.92,124,134.85,15,7.08,1
14_BROMWICH_8123,18,5,1,391.8,60,54.95,5,6.53,-13
14_BROMWICH_8124,17,14,0,364.5,54,34.97,3,6.75,-3
14_BROMWICH_8128,7,5,1,,,0,0,,-2
14_BROMWICH_8130,111,168,0,1403.37,1509,81.27,63,0.93,57
14_BROMWICH_8131,1,5,1,342.54,33,17.99,1,10.38,4
14_BROMWICH_8135,6,14,0,912.6,108,142.87,13,8.45,8
14_BROMWICH_8136,0,5,1,110.22,6,0,0,18.37,5
14_BROMWICH_8143,9,5,1,552.48,24,81.98,2,23.02,-4
14_BROMWICH_8144,2,6,1,1208.52,54,179.94,6,22.38,4
14_BROMWICH_8154,6,14,0,385.2,24,68.97,3,16.05,8
14_BROMWICH_8155,14,33,0,2191.04,668,588.82,118,3.28,19
14_BROMWICH_8159,95,65,0,20851.71,1059,4002.46,154,19.69,-30
14_BROMWICH_8166,18,9,1,893.26,59,185.91,9,15.14,-9
14_BROMWICH_8170,11,86,0,390.6,180,38.87,13,2.17,75
14_BROMWICH_8171,76,66,0,414.64,584,74.25,75,0.71,-10
14_BROMWICH_8172,100,102,0,250.63,353,34.65,35,0.71,2
14_BROMWICH_8173,12,13,0,514.08,36,41.98,2,14.28,1
14_BROMWICH_8178,39,21,0,2646.93,143,313.88,12,18.51,-18
14_BROMWICH_8184,84,119,0,1644.55,1061,298.5,150,1.55,35
14_BROMWICH_8187,16,8,1,1106.28,84,321.82,18,13.17,-8
14_BROMWICH_8189,28,9,1,153.54,6,63.98,2,25.59,-19
14_BROMWICH_8190,0,30,0,516.6,42,0,0,12.3,30
14_BROMWICH_8191,9,12,0,260.1,18,20.49,1,14.45,3
14_BROMWICH_8200,72,61,0,464.34,213,53.82,18,2.18,-11
14_BROMWICH_8202,13,23,0,3559.11,267,557.72,28,13.33,10
14_BROMWICH_8203,217,61,0,1236.69,819,421.59,141,1.51,-156
14_BROMWICH_8205,34,64,0,295.29,193,48.81,19,1.53,30
14_BROMWICH_8212,14,12,0,399.84,24,24.99,1,16.66,-2
14_BROMWICH_8214,14,7,1,1287.6,174,239.76,24,7.4,-7
14_BROMWICH_8218,20,7,1,143.22,6,95.97,3,23.87,-13
14_BROMWICH_822,20,21,0,3818.09,191,647.76,24,19.99,1
14_BROMWICH_8223,21,2,1,372.96,36,149.91,9,10.36,-19
14_BROMWICH_8232,8,7,1,792.48,127,142.83,17,6.24,-1
14_BROMWICH_8236,194,197,0,892.38,834,189.23,127,1.07,3
14_BROMWICH_8238,0,4,1,171.36,6,0,0,28.56,4
14_BROMWICH_824,18,14,0,3674.52,177,728.73,27,20.76,-4
14_BROMWICH_8246,15,15,0,257.04,42,48.95,5,6.12,0
14_BROMWICH_8258,4,3,1,589.4,28,119.96,4,21.05,-1
14_BROMWICH_8259,0,60,0,218.4,120,0,0,1.82,60
14_BROMWICH_8262,5,4,1,284.76,18,61.97,3,15.82,-1
14_BROMWICH_8264,26,13,0,708.84,132,158.83,17,5.37,-13
14_BROMWICH_8265,5,8,1,310.05,45,69.93,7,6.89,3
14_BROMWICH_8267,7,6,1,110.7,6,74.97,3,18.45,-1
14_BROMWICH_8273,1,6,1,716.1,42,26.99,1,17.05,5
14_BROMWICH_8275,6,3,1,248.52,12,0,0,20.71,-3
14_BROMWICH_8280,12,9,1,106.8,12,27.98,2,8.9,-3
14_BROMWICH_8284,0,8,1,378.84,12,0,0,31.57,8
14_BROMWICH_8288,22,56,0,2334.36,294,227.85,15,7.94,34
14_BROMWICH_8295,10,0,1,310,10,399.9,10,31,-10
14_BROMWICH_8296,3,22,0,1931.3,89,307.89,11,21.7,19
14_BROMWICH_8312,14,16,0,342.6,60,55.93,7,5.71,2
14_BROMWICH_832,15,6,1,275.12,38,59.94,6,7.24,-9
14_BROMWICH_8323,13,12,0,1725.5,145,308.81,19,11.9,-1
14_BROMWICH_8329,14,20,0,435.24,93,44.95,5,4.68,6
14_BROMWICH_8338,12,5,1,1347.57,93,263.87,13,14.49,-7
14_BROMWICH_8339,13,19,0,5075.28,168,871.8,20,30.21,6
14_BROMWICH_8342,19,49,0,1592.74,194,70.95,5,8.21,30
14_BROMWICH_8345,27,16,0,549.31,163,127.84,16,3.37,-11
14_BROMWICH_8346,17,8,1,238.32,24,14.99,1,9.93,-9
14_BROMWICH_8359,11,11,0,304,95,39.95,5,3.2,0
14_BROMWICH_8361,7,7,1,834.98,83,104.93,7,10.06,0
14_BROMWICH_8366,8,7,1,210.24,36,26.97,3,5.84,-1
14_BROMWICH_8369,2,13,0,436.68,18,71.98,2,24.26,11
14_BROMWICH_8370,14,13,0,2021.34,354,401.6,40,5.71,-1
14_BROMWICH_8379,6,12,0,801.15,105,215.82,18,7.63,6
14_BROMWICH_838,2,7,1,382.08,48,76.93,7,7.96,5
14_BROMWICH_8386,10,14,0,354.6,36,107.92,8,9.85,4
14_BROMWICH_8387,16,10,1,1640.3,94,141.94,6,17.45,-6
14_BROMWICH_8393,8,6,1,208.86,6,0,0,34.81,-2
14_BROMWICH_8395,7,5,1,,,61.99,1,,-2
14_BROMWICH_8398,6,8,1,399.96,12,53.99,1,33.33,2
14_BROMWICH_8408,3,6,1,666.3,30,112.97,3,22.21,3
14_BROMWICH_8413,36,10,1,499.8,35,179.9,10,14.28,-26
14_BROMWICH_8420,7,10,1,744,24,211.95,5,31,3
14_BROMWICH_8421,27,18,0,1412.03,419,81.88,12,3.37,-9
14_BROMWICH_8424,12,6,1,977.4,60,161.94,6,16.29,-6
14_BROMWICH_8428,0,7,1,145.97,11,0,0,13.27,7
14_BROMWICH_8437,3,5,1,473.58,18,69.98,2,26.31,2
14_BROMWICH_8440,39,43,0,1236.48,84,139.93,7,14.72,4
14_BROMWICH_8441,34,10,1,2149.72,241,312.25,25,8.92,-24
14_BROMWICH_8442,7,9,1,894.72,96,159.39,11,9.32,2
14_BROMWICH_8444,7,4,1,104.28,6,0,0,17.38,-3
14_BROMWICH_8447,12,7,1,,,0,0,,-5
14_BROMWICH_8448,10,8,1,705.94,94,112.89,11,7.51,-2
14_BROMWICH_8450,14,10,1,1774.08,128,408.79,21,13.86,-4
14_BROMWICH_8451,14,10,1,2631.31,209,613.65,35,12.59,-4
14_BROMWICH_8452,9,10,1,1762.52,139,158.91,9,12.68,1
14_BROMWICH_8453,0,45,0,253.2,120,0,0,2.11,45
14_BROMWICH_8454,2,4,1,297.6,12,32.99,1,24.8,2
14_BROMWICH_8455,12,13,0,130.56,12,0,0,10.88,1
14_BROMWICH_8462,15,20,0,2436.28,154,374.85,15,15.82,5
14_BROMWICH_8464,8,20,0,511.68,48,0,0,10.66,12
14_BROMWICH_8469,23,19,0,1335.78,82,265.9,10,16.29,-4
14_BROMWICH_8470,80,106,0,249.6,120,19.53,7,2.08,26
14_BROMWICH_8472,24,10,1,3897.4,260,578.78,22,14.99,-14
14_BROMWICH_8473,9,10,1,2639.52,108,545.84,16,24.44,1
14_BROMWICH_8474,7,3,1,1427.96,58,206.94,6,24.62,-4
14_BROMWICH_8475,45,45,0,697.41,567,50.12,28,1.23,0
14_BROMWICH_8476,16,8,1,323.28,36,87.43,7,8.98,-8
14_BROMWICH_8480,25,18,0,4901.22,438,772.53,47,11.19,-7
14_BROMWICH_8484,0,13,0,129.6,60,0,0,2.16,13
14_BROMWICH_8485,23,9,1,304.29,23,179.9,10,13.23,-14
14_BROMWICH_8491,7,1,1,358.08,24,108.95,5,14.92,-6
14_BROMWICH_8496,4,10,1,139.44,12,0,0,11.62,6
14_BROMWICH_8497,41,13,0,1794.89,239,320.69,31,7.51,-28
14_BROMWICH_8498,38,39,0,2190,375,269.77,23,5.84,1
14_BROMWICH_8504,54,25,0,4467.6,765,897.27,73,5.84,-29
14_BROMWICH_8505,0,6,1,480.78,18,0,0,26.71,6
14_BROMWICH_8506,11,25,0,1499.4,70,131.96,4,21.42,14
14_BROMWICH_8512,98,66,0,11702.4,795,2291.85,115,14.72,-32
14_BROMWICH_8513,39,8,1,2578.08,393,613.32,68,6.56,-31
14_BROMWICH_8515,40,14,0,1198.02,82,425.79,21,14.61,-26
14_BROMWICH_8517,31,17,0,1787.94,129,388.81,19,13.86,-14
14_BROMWICH_8519,0,13,0,199.8,36,0,0,5.55,13
14_BROMWICH_8522,0,40,0,85.2,120,0,0,0.71,40
14_BROMWICH_8526,19,18,0,3105.36,152,783.73,27,20.43,-1
14_BROMWICH_8534,2,7,1,422.1,105,59.9,10,4.02,5
14_BROMWICH_8537,20,2,1,676.08,72,169.9,10,9.39,-18
14_BROMWICH_854,12,19,0,571.83,49,79.95,5,11.67,7
14_BROMWICH_855,12,21,0,1453.2,168,351.68,32,8.65,9
14_BROMWICH_8553,0,9,1,542.88,104,0,0,5.22,9
14_BROMWICH_8562,14,7,1,3363.36,294,577.64,36,11.44,-7
14_BROMWICH_8567,10,8,1,830.25,123,95.91,9,6.75,-2
14_BROMWICH_857,54,44,0,8942.01,553,1820.24,76,16.17,-10
14_BROMWICH_8576,0,21,0,605.55,165,0,0,3.67,21
14_BROMWICH_858,30,29,0,2622.35,293,395.67,33,8.95,-1
14_BROMWICH_859,12,10,1,829.92,48,47.98,2,17.29,-2
14_BROMWICH_8590,25,12,0,1079.91,213,172.74,26,5.07,-13
14_BROMWICH_8599,8,10,1,1034.52,233,233.61,39,4.44,2
14_BROMWICH_8609,12,15,0,274.68,36,91.91,9,7.63,3
14_BROMWICH_8612,6,11,0,2197.92,48,67.99,1,45.79,5
14_BROMWICH_8617,0,9,1,93.47,13,0,0,7.19,9
14_BROMWICH_8619,30,26,0,734.8,167,226.64,36,4.4,-4
14_BROMWICH_8620,6,3,1,1023.75,117,239.8,20,8.75,-3
14_BROMWICH_8621,24,23,0,1670.76,364,125.8,20,4.59,-1
14_BROMWICH_8622,2,3,1,1567.62,18,0,0,87.09,1
14_BROMWICH_8623,60,16,0,4.68,2,0,0,2.34,-44
14_BROMWICH_8626,11,7,1,3501,300,893.52,48,11.67,-4
14_BROMWICH_8627,0,6,1,902.55,165,69.93,7,5.47,6
14_BROMWICH_8628,18,17,0,285.6,48,164.86,14,5.95,-1
14_BROMWICH_8630,12,9,1,131.28,24,39.96,4,5.47,-3
14_BROMWICH_8637,9,12,0,485.28,36,56.97,3,13.48,3
14_BROMWICH_8642,0,3,1,949.24,76,0,0,12.49,3
14_BROMWICH_8658,3,4,1,655.56,27,145.96,4,24.28,1
14_BROMWICH_8660,2,4,1,571.71,59,142.89,11,9.69,2
14_BROMWICH_8670,6,11,0,4019.2,512,787.34,66,7.85,5
14_BROMWICH_8671,8,6,1,362.25,25,103.95,5,14.49,-2
14_BROMWICH_8673,16,9,1,920.79,117,186.83,17,7.87,-7
14_BROMWICH_8674,6,7,1,375.84,72,113.87,13,5.22,1
14_BROMWICH_8678,46,4,1,111.84,12,159.89,11,9.32,-42
14_BROMWICH_8680,61,37,0,20966.88,726,3906.04,96,28.88,-24
14_BROMWICH_8689,6,7,1,480.26,74,146.86,14,6.49,1
14_BROMWICH_8691,32,16,0,8508.5,715,1832.84,116,11.9,-16
14_BROMWICH_8693,11,7,1,1470.84,206,239.77,23,7.14,-4
14_BROMWICH_8694,9,14,0,383.52,48,76.93,7,7.99,5
14_BROMWICH_8700,11,12,0,198.24,12,0,0,16.52,1
14_BROMWICH_8701,5,6,1,663.3,99,139.86,14,6.7,1
14_BROMWICH_8725,6,3,1,982.72,83,173.9,10,11.84,-3
14_BROMWICH_8726,177,140,0,1515.8,1060,208.95,105,1.43,-37
14_BROMWICH_8727,3,7,1,692.1,30,65.98,2,23.07,4
14_BROMWICH_8728,6,11,0,897.75,95,261.83,17,9.45,5
14_BROMWICH_8730,10,13,0,830.5,151,105.88,12,5.5,3
14_BROMWICH_8737,28,28,0,514.08,72,64.95,5,7.14,0
14_BROMWICH_8744,11,6,1,147.84,12,35.98,2,12.32,-5
14_BROMWICH_8746,19,15,0,1451.22,361,451.36,64,4.02,-4
14_BROMWICH_8749,7,8,1,225.4,23,0,0,9.8,1
14_BROMWICH_875,14,6,1,459.2,70,71.92,8,6.56,-8
14_BROMWICH_8761,17,24,0,2478,350,385.6,40,7.08,7
14_BROMWICH_8778,14,26,0,3095.07,83,146.97,3,37.29,12
14_BROMWICH_878,3,10,1,358.08,48,49.95,5,7.46,7
14_BROMWICH_8780,2,13,0,395.07,39,127.92,8,10.13,11
14_BROMWICH_8781,48,14,0,,,101.94,6,,-34
14_BROMWICH_8788,12,60,0,289.17,189,57.71,29,1.53,48
14_BROMWICH_8790,6,9,1,188.1,22,38.97,3,8.55,3
14_BROMWICH_8793,0,13,0,1401.51,93,0,0,15.07,13
14_BROMWICH_881,9,6,1,6.56,1,17.98,2,6.56,-3
14_BROMWICH_8815,28,41,0,3563.09,587,755.24,76,6.07,13
14_BROMWICH_8819,22,13,0,474.3,93,177.76,24,5.1,-9
14_BROMWICH_8822,66,70,0,1375.32,942,155.22,78,1.46,4
14_BROMWICH_8823,20,15,0,878.04,162,226.7,30,5.42,-5
14_BROMWICH_8828,0,3,1,868,70,16.99,1,12.4,3
14_BROMWICH_8837,5,11,0,148.68,36,17.97,3,4.13,6
